url,movie title,movie link,Image Card,Image Card_link
https://www.mxplayer.in/movies,"Aaj Ka Arjun
Action, Hindi, 1990",https://www.mxplayer.in/movie/watch-aaj-ka-arjun-movie-online-db7b798aaaa7ebd612e86d319753c033,https://j2apps.s.llnwi.net/is1/media/images/db7b798aaaa7ebd612e86d319753c033/2x3/2x/test_pic1532868029103.jpg,https://www.mxplayer.in/movie/watch-aaj-ka-arjun-movie-online-db7b798aaaa7ebd612e86d319753c033
https://www.mxplayer.in/movies,"Angrakshak
Action, Hindi, 1995",https://www.mxplayer.in/movie/watch-angrakshak-movie-online-1255ebe8aa87ec9aac84380affd6d757,https://j2apps.s.llnwi.net/is1/media/images/1255ebe8aa87ec9aac84380affd6d757/2x3/2x/test_pic1550668369140.jpg,https://www.mxplayer.in/movie/watch-angrakshak-movie-online-1255ebe8aa87ec9aac84380affd6d757
https://www.mxplayer.in/movies,"Hulchul
Action, Hindi, 1995",https://www.mxplayer.in/movie/watch-hulchul-movie-online-6e5a4d5ed75681086a6ffec73de4b43a,https://j2apps.s.llnwi.net/is1/media/images/6e5a4d5ed75681086a6ffec73de4b43a/2x3/2x/test_pic1539352232154.jpg,https://www.mxplayer.in/movie/watch-hulchul-movie-online-6e5a4d5ed75681086a6ffec73de4b43a
https://www.mxplayer.in/movies,"Ganga Tere Desh Mein
Action, Hindi, 1988",https://www.mxplayer.in/movie/watch-ganga-tere-desh-mein-movie-online-32ce1f0dcadc38079f252c969d60a545,https://j2apps.s.llnwi.net/is1/media/images/32ce1f0dcadc38079f252c969d60a545/2x3/2x/test_pic1532872064933.jpg,https://www.mxplayer.in/movie/watch-ganga-tere-desh-mein-movie-online-32ce1f0dcadc38079f252c969d60a545
https://www.mxplayer.in/movies,"Love
Drama, Hindi, 1991",https://www.mxplayer.in/movie/watch-love-movie-online-1eec644a05816561e089d518cea1bc72,https://j2apps.s.llnwi.net/is1/media/images/1eec644a05816561e089d518cea1bc72/2x3/2x/test_pic1535116491824.jpg,https://www.mxplayer.in/movie/watch-love-movie-online-1eec644a05816561e089d518cea1bc72
https://www.mxplayer.in/movies,"Entertainment
Action, Hindi, 2014",https://www.mxplayer.in/movie/watch-entertainment-movie-online-8206d24f706cdcfc2079f5242fb48ca8,https://j2apps.s.llnwi.net/is1/media/images/8206d24f706cdcfc2079f5242fb48ca8/2x3/2x/test_pic1542799747722.jpg,https://www.mxplayer.in/movie/watch-entertainment-movie-online-8206d24f706cdcfc2079f5242fb48ca8
https://www.mxplayer.in/movies,"The Legend of Michel Mishra
Comedy, Hindi, 2016",https://www.mxplayer.in/movie/watch-the-legend-of-michel-mishra-movie-online-5530c0a2a77e4dc52cef1a8b9402255a,https://j2apps.s.llnwi.net/is1/media/images/5530c0a2a77e4dc52cef1a8b9402255a/2x3/2x/test_pic1540982661929.jpg,https://www.mxplayer.in/movie/watch-the-legend-of-michel-mishra-movie-online-5530c0a2a77e4dc52cef1a8b9402255a
https://www.mxplayer.in/movies,"Awara Paagal Deewana
Action, Hindi, 2002",https://www.mxplayer.in/movie/watch-awara-paagal-deewana-movie-online-66c3756528a84c80e6842d63bffa1e54,https://j2apps.s.llnwi.net/is1/media/images/66c3756528a84c80e6842d63bffa1e54/2x3/2x/test_pic1532871451238.jpg,https://www.mxplayer.in/movie/watch-awara-paagal-deewana-movie-online-66c3756528a84c80e6842d63bffa1e54
https://www.mxplayer.in/movies,"Bade Miyan Chote Miyan
Comedy, Hindi, 1998",https://www.mxplayer.in/movie/watch-bade-miyan-chote-miyan-movie-online-9d44becea1d57787517e6b6382c71060,https://j2apps.s.llnwi.net/is1/media/images/9d44becea1d57787517e6b6382c71060/2x3/2x/test_pic1539614641522.jpg,https://www.mxplayer.in/movie/watch-bade-miyan-chote-miyan-movie-online-9d44becea1d57787517e6b6382c71060
https://www.mxplayer.in/movies,"War Chhod Na Yaar
Comedy, Hindi, 2013",https://www.mxplayer.in/movie/watch-war-chhod-na-yaar-movie-online-829930e917f6e0bab43e65e2ff6c7e7b,https://j2apps.s.llnwi.net/is1/media/images/829930e917f6e0bab43e65e2ff6c7e7b/2x3/2x/test_pic1538746252355.jpg,https://www.mxplayer.in/movie/watch-war-chhod-na-yaar-movie-online-829930e917f6e0bab43e65e2ff6c7e7b
